Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time
1,Inferencing,1165.144389204545,2.13,1588.8473381561253,87.27,95.45,69,12,1,44.06634759902954
2,Inferencing,1137.504492897727,2.08,1570.9300632944082,87.27,95.45,102,0,0,3.491084337234497
3,Inferencing,1131.5883693181815,2.08,1563.0223171733185,87.27,95.45,102,0,0,3.4834561347961426
4,Inferencing,1261.9325284090905,2.40,1866.1222478706802,85.45,92.73,102,0,0,3.463050365447998
5,Inferencing,1180.2054687499992,2.28,1734.5657570378007,84.55,91.82,99,1,2,38.2709858417511
6,Inferencing,1117.926490056818,2.12,1586.2947133668501,84.55,96.36,91,0,11,1025.343978881836
7,Inferencing,1199.7702059659089,2.31,1706.3842389370964,81.82,96.36,78,11,13,714.3474872112274
8,Inferencing,854.9410511363634,1.63,1260.6921604637778,90.91,97.27,59,41,2,422.0559208393097
