Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time
1,Training,1029.3792724609375,1.84,1242.435546875,90.1,99.01,69,12,1,44.06634759902954
2,Training,998.8829956054688,1.79,1215.4254150390625,90.2,99.02,102,0,0,3.491084337234497
3,Training,956.9384155273438,1.72,1174.4390869140625,91.18,99.02,102,0,0,3.4834561347961426
4,Training,935.204345703125,1.70,1147.6602783203125,92.16,99.02,102,0,0,3.463050365447998
5,Training,883.9281616210938,1.63,1101.7525634765625,91.18,99.02,99,1,2,38.2709858417511
6,Training,944.4771118164062,1.74,1231.458984375,88.24,100.0,91,0,11,1025.343978881836
7,Training,986.613525390625,1.83,1282.1136474609375,86.27,100.0,78,11,13,714.3474872112274
8,Training,721.7359619140625,1.36,939.85498046875,94.12,100.0,59,41,2,422.0559208393097
